x1,x2,ambiguity_type
2.577354709418838,-10.814028056112225,vote tie
2.6180360721442906,-10.814028056112225,vote tie
2.0078156312625257,-10.771142284569137,vote tie
2.0484969939879765,-10.771142284569137,vote tie
2.089178356713427,-10.771142284569137,vote tie
2.129859719438878,-10.771142284569137,vote tie
2.1705410821643305,-10.771142284569137,vote tie
2.2112224448897813,-10.771142284569137,vote tie
2.251903807615232,-10.771142284569137,vote tie
2.2925851703406828,-10.771142284569137,vote tie
2.3332665330661335,-10.771142284569137,vote tie
2.3739478957915843,-10.771142284569137,vote tie
2.414629258517035,-10.771142284569137,vote tie
2.455310621242486,-10.771142284569137,vote tie
2.4959919839679365,-10.771142284569137,vote tie
2.5366733466933873,-10.771142284569137,vote tie
2.577354709418838,-10.771142284569137,vote tie
1.967134268537075,-10.728256513026052,vote tie
2.0078156312625257,-10.728256513026052,vote tie
2.0484969939879765,-10.728256513026052,vote tie
2.089178356713427,-10.728256513026052,vote tie
2.129859719438878,-10.728256513026052,vote tie
2.1705410821643305,-10.728256513026052,vote tie
2.2112224448897813,-10.728256513026052,vote tie
2.251903807615232,-10.728256513026052,vote tie
2.2925851703406828,-10.728256513026052,vote tie
2.3332665330661335,-10.728256513026052,vote tie
2.3739478957915843,-10.728256513026052,vote tie
2.414629258517035,-10.728256513026052,vote tie
2.455310621242486,-10.728256513026052,vote tie
2.4959919839679365,-10.728256513026052,vote tie
2.5366733466933873,-10.728256513026052,vote tie
1.9264529058116242,-10.685370741482965,vote tie
1.967134268537075,-10.685370741482965,vote tie
2.0078156312625257,-10.685370741482965,vote tie
2.0484969939879765,-10.685370741482965,vote tie
2.089178356713427,-10.685370741482965,vote tie
2.129859719438878,-10.685370741482965,vote tie
2.1705410821643305,-10.685370741482965,vote tie
2.2112224448897813,-10.685370741482965,vote tie
2.251903807615232,-10.685370741482965,vote tie
2.2925851703406828,-10.685370741482965,vote tie
2.3332665330661335,-10.685370741482965,vote tie
2.3739478957915843,-10.685370741482965,vote tie
2.414629258517035,-10.685370741482965,vote tie
2.455310621242486,-10.685370741482965,vote tie
2.4959919839679365,-10.685370741482965,vote tie
1.8857715430861735,-10.64248496993988,vote tie
1.9264529058116242,-10.64248496993988,vote tie
1.967134268537075,-10.64248496993988,vote tie
2.0078156312625257,-10.64248496993988,vote tie
2.0484969939879765,-10.64248496993988,vote tie
2.089178356713427,-10.64248496993988,vote tie
2.129859719438878,-10.64248496993988,vote tie
2.1705410821643305,-10.64248496993988,vote tie
2.2112224448897813,-10.64248496993988,vote tie
2.251903807615232,-10.64248496993988,vote tie
2.2925851703406828,-10.64248496993988,vote tie
2.3332665330661335,-10.64248496993988,vote tie
2.3739478957915843,-10.64248496993988,vote tie
2.414629258517035,-10.64248496993988,vote tie
2.455310621242486,-10.64248496993988,vote tie
1.8450901803607227,-10.599599198396794,vote tie
1.8857715430861735,-10.599599198396794,vote tie
1.9264529058116242,-10.599599198396794,vote tie
1.967134268537075,-10.599599198396794,vote tie
2.0078156312625257,-10.599599198396794,vote tie
2.0484969939879765,-10.599599198396794,vote tie
2.089178356713427,-10.599599198396794,vote tie
2.129859719438878,-10.599599198396794,vote tie
2.1705410821643305,-10.599599198396794,vote tie
2.2112224448897813,-10.599599198396794,vote tie
2.251903807615232,-10.599599198396794,vote tie
2.2925851703406828,-10.599599198396794,vote tie
2.3332665330661335,-10.599599198396794,vote tie
2.3739478957915843,-10.599599198396794,vote tie
2.414629258517035,-10.599599198396794,vote tie
2.455310621242486,-10.599599198396794,vote tie
1.804408817635272,-10.556713426853706,vote tie
1.8450901803607227,-10.556713426853706,vote tie
1.8857715430861735,-10.556713426853706,vote tie
1.9264529058116242,-10.556713426853706,vote tie
1.967134268537075,-10.556713426853706,vote tie
2.0078156312625257,-10.556713426853706,vote tie
2.0484969939879765,-10.556713426853706,vote tie
2.089178356713427,-10.556713426853706,vote tie
2.129859719438878,-10.556713426853706,vote tie
2.1705410821643305,-10.556713426853706,vote tie
2.2112224448897813,-10.556713426853706,vote tie
2.251903807615232,-10.556713426853706,vote tie
2.2925851703406828,-10.556713426853706,vote tie
2.3332665330661335,-10.556713426853706,vote tie
2.3739478957915843,-10.556713426853706,vote tie
2.414629258517035,-10.556713426853706,vote tie
1.7637274549098212,-10.513827655310621,vote tie
1.804408817635272,-10.513827655310621,vote tie
1.8450901803607227,-10.513827655310621,vote tie
1.8857715430861735,-10.513827655310621,vote tie
1.9264529058116242,-10.513827655310621,vote tie
1.967134268537075,-10.513827655310621,vote tie
2.0078156312625257,-10.513827655310621,vote tie
2.0484969939879765,-10.513827655310621,vote tie
2.089178356713427,-10.513827655310621,vote tie
2.129859719438878,-10.513827655310621,vote tie
2.1705410821643305,-10.513827655310621,vote tie
2.2112224448897813,-10.513827655310621,vote tie
2.251903807615232,-10.513827655310621,vote tie
2.2925851703406828,-10.513827655310621,vote tie
2.3332665330661335,-10.513827655310621,vote tie
2.3739478957915843,-10.513827655310621,vote tie
1.7230460921843704,-10.470941883767534,vote tie
1.7637274549098212,-10.470941883767534,vote tie
1.804408817635272,-10.470941883767534,vote tie
1.8450901803607227,-10.470941883767534,vote tie
1.8857715430861735,-10.470941883767534,vote tie
1.9264529058116242,-10.470941883767534,vote tie
1.967134268537075,-10.470941883767534,vote tie
2.0078156312625257,-10.470941883767534,vote tie
2.0484969939879765,-10.470941883767534,vote tie
2.089178356713427,-10.470941883767534,vote tie
2.129859719438878,-10.470941883767534,vote tie
2.1705410821643305,-10.470941883767534,vote tie
2.2112224448897813,-10.470941883767534,vote tie
2.251903807615232,-10.470941883767534,vote tie
2.2925851703406828,-10.470941883767534,vote tie
2.3332665330661335,-10.470941883767534,vote tie
1.6823647294589197,-10.428056112224448,vote tie
1.7230460921843704,-10.428056112224448,vote tie
1.7637274549098212,-10.428056112224448,vote tie
1.804408817635272,-10.428056112224448,vote tie
1.8450901803607227,-10.428056112224448,vote tie
1.8857715430861735,-10.428056112224448,vote tie
1.9264529058116242,-10.428056112224448,vote tie
1.967134268537075,-10.428056112224448,vote tie
2.0078156312625257,-10.428056112224448,vote tie
2.0484969939879765,-10.428056112224448,vote tie
2.089178356713427,-10.428056112224448,vote tie
2.129859719438878,-10.428056112224448,vote tie
2.1705410821643305,-10.428056112224448,vote tie
2.2112224448897813,-10.428056112224448,vote tie
2.251903807615232,-10.428056112224448,vote tie
2.2925851703406828,-10.428056112224448,vote tie
1.6416833667334672,-10.385170340681363,vote tie
1.6823647294589197,-10.385170340681363,vote tie
1.7230460921843704,-10.385170340681363,vote tie
1.7637274549098212,-10.385170340681363,vote tie
1.804408817635272,-10.385170340681363,vote tie
1.8450901803607227,-10.385170340681363,vote tie
1.8857715430861735,-10.385170340681363,vote tie
1.9264529058116242,-10.385170340681363,vote tie
1.967134268537075,-10.385170340681363,vote tie
2.0078156312625257,-10.385170340681363,vote tie
2.0484969939879765,-10.385170340681363,vote tie
2.089178356713427,-10.385170340681363,vote tie
2.129859719438878,-10.385170340681363,vote tie
2.1705410821643305,-10.385170340681363,vote tie
2.2112224448897813,-10.385170340681363,vote tie
2.251903807615232,-10.385170340681363,vote tie
1.6416833667334672,-10.342284569138275,vote tie
1.6823647294589197,-10.342284569138275,vote tie
1.7230460921843704,-10.342284569138275,vote tie
1.7637274549098212,-10.342284569138275,vote tie
1.804408817635272,-10.342284569138275,vote tie
1.8450901803607227,-10.342284569138275,vote tie
1.8857715430861735,-10.342284569138275,vote tie
1.9264529058116242,-10.342284569138275,vote tie
1.967134268537075,-10.342284569138275,vote tie
2.0078156312625257,-10.342284569138275,vote tie
2.0484969939879765,-10.342284569138275,vote tie
2.089178356713427,-10.342284569138275,vote tie
2.129859719438878,-10.342284569138275,vote tie
2.1705410821643305,-10.342284569138275,vote tie
2.2112224448897813,-10.342284569138275,vote tie
1.6010020040080164,-10.29939879759519,vote tie
1.6416833667334672,-10.29939879759519,vote tie
1.6823647294589197,-10.29939879759519,vote tie
1.7230460921843704,-10.29939879759519,vote tie
1.7637274549098212,-10.29939879759519,vote tie
1.804408817635272,-10.29939879759519,vote tie
1.8450901803607227,-10.29939879759519,vote tie
1.8857715430861735,-10.29939879759519,vote tie
1.9264529058116242,-10.29939879759519,vote tie
1.967134268537075,-10.29939879759519,vote tie
2.0078156312625257,-10.29939879759519,vote tie
2.0484969939879765,-10.29939879759519,vote tie
2.089178356713427,-10.29939879759519,vote tie
2.129859719438878,-10.29939879759519,vote tie
2.1705410821643305,-10.29939879759519,vote tie
2.2112224448897813,-10.29939879759519,vote tie
1.5603206412825656,-10.256513026052104,vote tie
1.6010020040080164,-10.256513026052104,vote tie
1.6416833667334672,-10.256513026052104,vote tie
1.6823647294589197,-10.256513026052104,vote tie
1.7230460921843704,-10.256513026052104,vote tie
1.7637274549098212,-10.256513026052104,vote tie
1.804408817635272,-10.256513026052104,vote tie
1.8450901803607227,-10.256513026052104,vote tie
1.8857715430861735,-10.256513026052104,vote tie
1.9264529058116242,-10.256513026052104,vote tie
1.967134268537075,-10.256513026052104,vote tie
2.0078156312625257,-10.256513026052104,vote tie
2.0484969939879765,-10.256513026052104,vote tie
2.089178356713427,-10.256513026052104,vote tie
2.129859719438878,-10.256513026052104,vote tie
2.1705410821643305,-10.256513026052104,vote tie
1.519639278557115,-10.213627254509017,vote tie
1.5603206412825656,-10.213627254509017,vote tie
1.6010020040080164,-10.213627254509017,vote tie
1.6416833667334672,-10.213627254509017,vote tie
1.6823647294589197,-10.213627254509017,vote tie
1.7230460921843704,-10.213627254509017,vote tie
1.7637274549098212,-10.213627254509017,vote tie
1.804408817635272,-10.213627254509017,vote tie
1.8450901803607227,-10.213627254509017,vote tie
1.8857715430861735,-10.213627254509017,vote tie
1.9264529058116242,-10.213627254509017,vote tie
1.967134268537075,-10.213627254509017,vote tie
2.0078156312625257,-10.213627254509017,vote tie
