Algorithm,Step_Index,Coordinate_X,Coordinate_Y
SMO,32,2.958677,4.024295
SMO,33,3.124775,4.079171
SMO,34,3.291439,4.134231
SMO,35,3.45794,4.190282
SMO,36,3.623548,4.248132
SMO,37,3.787535,4.308587
SMO,38,3.94917,4.372456
SMO,39,4.107769,4.440459
SMO,40,4.262863,4.512914
SMO,41,4.414041,4.590019
SMO,42,4.560896,4.671975
SMO,43,4.703018,4.758979
SMO,44,4.84,4.851231
SMO,45,4.971432,4.948929
SMO,46,5.096906,5.052272
SMO,47,5.216014,5.161461
SMO,48,5.328347,5.276692
SMO,49,5.433496,5.398166
SMO,50,5.531053,5.526081
SMO,51,5.620609,5.660636
SMO,52,5.701756,5.802031
SMO,53,5.774085,5.950463
SMO,54,5.837187,6.106133
SMO,55,5.890654,6.269239
SMO,56,5.934077,6.439979
SMO,57,5.967049,6.618554
SMO,58,5.989159,6.805161
SMO,59,6.0,7.0
ACO,0,0.0,0.0
ACO,1,6.0,7.0
