family,parameter_name,parameter_value,alpha,epsilon,gamma,seed,episode,steps
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,58,26
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,59,23
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,60,19
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,61,19
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,62,27
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,63,23
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,64,41
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,65,34
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,66,50
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,67,43
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,68,22
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,69,19
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,70,31
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,71,20
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,72,37
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,73,26
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,74,27
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,75,56
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,76,49
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,77,30
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,78,24
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,79,21
n_step_sarsa,n,5.000,0.100,0.100,0.990,42,80,20
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,1,3097
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,2,990
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,3,183
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,4,234
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,5,404
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,6,328
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,7,606
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,8,218
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,9,204
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,10,220
sarsa_lambda,lambda,0.500,0.100,0.100,0.990,13,11,124
