index,family,parameter_name,parameter_value,alpha,episode,mean,median,std_steps
130,n_step_sarsa,n,5.000,0.500,31,37.667,43.000,16.653
131,n_step_sarsa,n,5.000,0.500,32,117.667,68.000,112.082
132,n_step_sarsa,n,5.000,0.500,33,60.667,47.000,49.923
133,n_step_sarsa,n,5.000,0.500,34,37.667,33.000,10.786
134,n_step_sarsa,n,5.000,0.500,35,46.333,44.000,23.587
135,n_step_sarsa,n,5.000,0.500,36,22.000,21.000,2.646
136,n_step_sarsa,n,5.000,0.500,37,33.000,37.000,12.490
137,n_step_sarsa,n,5.000,0.500,38,26.667,24.000,7.371
138,n_step_sarsa,n,5.000,0.500,39,38.667,29.000,24.007
139,n_step_sarsa,n,5.000,0.500,40,56.000,23.000,58.898
140,n_step_sarsa,n,5.000,0.500,41,20.333,21.000,3.055
141,n_step_sarsa,n,5.000,0.500,42,40.000,34.000,26.514
142,n_step_sarsa,n,5.000,0.500,43,35.667,34.000,16.563
143,n_step_sarsa,n,5.000,0.500,44,28.000,26.000,5.292
144,n_step_sarsa,n,5.000,0.500,45,22.000,22.000,3.000
145,n_step_sarsa,n,5.000,0.500,46,22.667,21.000,2.887
146,n_step_sarsa,n,5.000,0.500,47,25.333,23.000,5.859
147,n_step_sarsa,n,5.000,0.500,48,33.667,32.000,13.577
148,n_step_sarsa,n,5.000,0.500,49,32.667,35.000,11.676
149,n_step_sarsa,n,5.000,0.500,50,62.000,53.000,29.547
150,n_step_sarsa,n,5.000,0.500,51,36.667,30.000,13.317
151,n_step_sarsa,n,5.000,0.500,52,54.000,57.000,22.650
152,n_step_sarsa,n,5.000,0.500,53,39.000,31.000,26.907
153,n_step_sarsa,n,5.000,0.500,54,24.000,22.000,8.185
154,n_step_sarsa,n,5.000,0.500,55,32.667,27.000,18.175
155,n_step_sarsa,n,5.000,0.500,56,30.667,31.000,5.508
156,n_step_sarsa,n,5.000,0.500,57,42.667,28.000,29.838
157,n_step_sarsa,n,5.000,0.500,58,28.667,26.000,5.508
158,n_step_sarsa,n,5.000,0.500,59,28.000,28.000,6.000
159,n_step_sarsa,n,5.000,0.500,60,25.333,25.000,4.509
160,n_step_sarsa,n,5.000,0.500,61,28.667,28.000,10.017
161,n_step_sarsa,n,5.000,0.500,62,22.333,20.000,4.041
162,n_step_sarsa,n,5.000,0.500,63,23.667,22.000,5.686
163,n_step_sarsa,n,5.000,0.500,64,21.333,22.000,3.055
