family,parameter_name,parameter_value,alpha,epsilon,gamma,seed,episode,steps
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,51,43
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,52,29
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,53,26
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,54,27
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,55,26
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,56,56
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,57,23
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,58,40
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,59,22
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,60,56
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,61,32
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,62,45
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,63,48
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,64,40
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,65,17
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,66,21
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,67,78
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,68,40
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,69,18
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,70,33
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,71,44
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,72,22
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,73,23
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,74,26
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,75,18
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,76,40
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,77,40
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,78,30
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,79,32
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,80,35
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,81,20
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,82,18
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,83,38
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,84,20
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,85,32
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,86,28
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,87,26
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,88,23
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,89,29
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,90,30
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,91,18
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,92,18
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,93,32
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,94,30
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,95,34
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,96,25
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,97,27
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,98,29
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,99,21
n_step_sarsa,n,1.000,0.500,0.100,0.990,42,100,19
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,1,1306
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,2,488
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,3,163
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,4,222
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,5,122
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,6,102
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,7,85
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,8,126
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,9,43
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,10,54
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,11,207
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,12,276
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,13,36
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,14,151
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,15,26
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,16,239
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,17,47
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,18,221
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,19,26
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,20,55
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,21,214
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,22,54
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,23,27
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,24,23
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,25,118
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,26,75
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,27,35
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,28,68
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,29,72
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,30,29
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,31,38
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,32,28
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,33,100
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,34,46
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,35,38
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,36,64
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,37,29
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,38,31
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,39,41
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,40,45
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,41,38
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,42,24
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,43,58
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,44,37
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,45,32
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,46,32
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,47,68
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,48,68
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,49,33
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,50,51
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,51,51
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,52,26
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,53,29
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,54,31
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,55,29
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,56,46
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,57,27
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,58,30
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,59,23
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,60,19
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,61,30
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,62,27
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,63,33
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,64,43
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,65,19
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,66,44
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,67,19
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,68,25
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,69,41
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,70,61
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,71,24
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,72,49
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,73,27
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,74,54
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,75,26
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,76,31
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,77,31
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,78,28
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,79,49
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,80,57
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,81,32
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,82,36
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,83,29
n_step_sarsa,n,1.000,0.500,0.100,0.990,123,84,28
